machine,vtg,crt,gas,res,date,lot,label
TM-PE NO.1 R4,20,163.6,23.3,0.122249389,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,166.3,23,0.120264582,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,165,22.8,0.121212121,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,169,22.7,0.124260355,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,164.6,22.8,0.127582017,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,164.3,22.8,0.127814973,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,164.3,22.6,0.127814973,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,165.6,22.5,0.120772947,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,162,22.5,0.12962963,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,163.6,22.4,0.122249389,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,165.6,22.5,0.120772947,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,165.6,22.5,0.120772947,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,165.6,22.5,0.120772947,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,165,22.5,0.121212121,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,168.3,22.6,0.118835413,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,19,165,23.8,0.115151515,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,159.3,23.8,0.125549278,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,159.3,23.8,0.125549278,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,163.6,23.4,0.128361858,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,167,23.2,0.125748503,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,167,23,0.119760479,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,168.6,22.8,0.118623962,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,167,22.8,0.119760479,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,167,22.8,0.119760479,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,167,22.8,0.119760479,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,163.3,22.6,0.128597673,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,161.6,22.5,0.129950495,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,22,161,22.5,0.136645963,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,22,162.3,22.5,0.135551448,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,160,22.5,0.13125,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,22,161,22.5,0.136645963,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,163,22.5,0.128834356,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,163.6,22.5,0.128361858,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,22,162.3,22.5,0.135551448,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,22,164,22.5,0.134146341,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,22,163,22.5,0.134969325,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,161.6,22.4,0.129950495,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,161,22.4,0.130434783,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,161.6,22.4,0.129950495,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,161.6,22.4,0.129950495,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,161.6,22.4,0.129950495,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,158,22.4,0.132911392,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,164.3,22.4,0.127814973,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,166,22.4,0.126506024,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,163.6,22.4,0.128361858,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,165,22.4,0.127272727,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,169,22.4,0.124260355,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,21,167.3,22.4,0.125523013,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,19,167,21.5,0.113772455,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,19,167,21.5,0.113772455,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,19,166.6,21.4,0.114045618,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,164.3,21.4,0.121728545,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,167,21.4,0.119760479,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,165,21.4,0.121212121,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,165,21.4,0.121212121,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,165,21.4,0.121212121,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,163.3,21.3,0.122473974,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,164,21.3,0.12195122,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,165.3,21.3,0.120992136,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,167.3,21.3,0.119545726,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,19,159.3,21.3,0.119271814,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,157,21.3,0.127388535,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,159,21.3,0.125786164,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,156,21.3,0.128205128,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,21,155,21.3,0.135483871,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,157.3,21.3,0.127145582,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,157.3,21.3,0.127145582,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R5,20,156.3,21.3,0.127959053,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R6,16,162.6,19,0.098400984,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,16,162.6,19,0.098400984,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,16,162.6,19,0.098400984,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,16,160.6,18.9,0.099626401,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,16,162,18.9,0.098765432,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,157.6,19,0.133248731,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,17,162.6,18.9,0.104551046,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,17,158.3,18.9,0.10739103,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,17,159,18.9,0.106918239,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,18,158.6,18.9,0.113493064,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,19,159,18.9,0.119496855,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,19,159.3,18.9,0.119271814,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,156.6,18.9,0.134099617,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,20,160.6,18.9,0.124533001,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,20,157.3,18.9,0.127145582,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,165.6,18.9,0.126811594,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,161.6,18.9,0.129950495,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,161.6,18.9,0.129950495,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,161.6,18.9,0.129950495,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,162.6,18.9,0.129151292,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,21,164.3,18.9,0.127814973,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,22,167,18.9,0.131736527,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R6,23,154.3,18.9,0.149060272,2023-10-17 14:33,SJQA146 1,
TM-PE NO.1 R3,19,160,32.9,0.11875,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,160,32.9,0.11875,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,161.6,28.6,0.117574257,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,161.6,27,0.123762376,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,163.3,25.9,0.122473974,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,158.3,25,0.126342388,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,161,24.3,0.124223602,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,161,24,0.124223602,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,163.3,23.7,0.122473974,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,164,23.5,0.12195122,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,161,23.3,0.124223602,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,20,160,23.2,0.125,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,162,23.2,0.117283951,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,162.6,23.1,0.116851169,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,162.6,23.1,0.116851169,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,162.6,23.1,0.116851169,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,164.3,23.1,0.115642118,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,178,23.1,0.106741573,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,18,168,23.1,0.107142857,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,18,162.3,23.1,0.11090573,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,18,160,23.1,0.1125,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,158.3,23.1,0.120025268,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,19,137.6,23.1,0.138081395,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,16,167,23.1,0.095808383,2023-10-17 14:40,SJQA146 2,
TM-PE NO.1 R3,16,167,23.1,0.095808383,2023-10-17 14:40,SJQA146 2,
