id,machine,label,jig,vtg,crt,gas,,,starttime,,
248991340,TM-PE NO.1 R1,1,1,13.5,176.6,0,0,0,2023-05-03-8:11:55.943,,
248991355,TM-PE NO.1 R1,1,1,13.5,176.2,0,0,0,2023-05-03-8:11:56.497,,
248991365,TM-PE NO.1 R1,1,1,13.3,138.7,0,0,0,2023-05-03-8:11:57.027,,
248992056,TM-PE NO.1 R1,1,1,13.5,174.1,0,0,0,2023-05-03-8:12:41.530,,
248992059,TM-PE NO.1 R1,1,1,13.3,174.5,0,0,0,2023-05-03-8:12:42.047,,
248992065,TM-PE NO.1 R1,1,1,13.3,174.5,0,0,0,2023-05-03-8:12:42.573,,
248992073,TM-PE NO.1 R1,1,1,13.3,174.5,0,0,0,2023-05-03-8:12:43.097,,
248992079,TM-PE NO.1 R1,1,1,12.9,176.2,0,0,0,2023-05-03-8:12:43.623,10,
248992085,TM-PE NO.1 R1,1,1,13.2,174.1,0,0,0,2023-05-03-8:12:44.140,,
248992096,TM-PE NO.1 R1,1,1,13.1,177.9,0,0,0,2023-05-03-8:12:44.660,,
248993942,TM-PE NO.1 R1,0,1,14,170.8,0,0,0,2023-05-03-8:14:02.840,,
248993952,TM-PE NO.1 R1,0,1,14,170.8,0,0,0,2023-05-03-8:14:03.390,,
248993958,TM-PE NO.1 R1,0,1,13.2,174.1,0,0,0,2023-05-03-8:14:03.443,,
248993969,TM-PE NO.1 R1,0,1,13.2,174.5,0,0,0,2023-05-03-8:14:04.000,11,
248993983,TM-PE NO.1 R1,0,1,13.5,173.3,0,0,0,2023-05-03-8:14:04.547,,
248993996,TM-PE NO.1 R1,0,1,13.1,175.4,0,0,0,2023-05-03-8:14:05.080,,
248994004,TM-PE NO.1 R1,0,1,13.3,175.4,0,0,0,2023-05-03-8:14:05.607,,
248994015,TM-PE NO.1 R1,0,1,13.2,175.8,0,0,0,2023-05-03-8:14:06.137,,
248994787,TM-PE NO.1 R1,1,1,13.3,174.1,0,0,0,2023-05-03-8:14:56.217,,
248994804,TM-PE NO.1 R1,1,1,13.3,174.1,0,0,0,2023-05-03-8:14:56.780,,
248994820,TM-PE NO.1 R1,1,1,13.2,174.1,0,0,0,2023-05-03-8:14:57.320,12,
