label,num,date,vtg1,vtg2,vtg3,vtg4,vtg5,vtg6,vtg7,vtg8,vtg9,vtg10,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt8,crt9,
0,200,20230510,13.5,13.3,13.3,13.3,13.2,13.2,13.2,13.1,,,169.5,174.5,174.5,174.5,174.5,174.5,174.5,175.4,,
1,201,20230510,13.3,13,13.1,13.1,13.1,13,13.1,12.8,12.8,12.8,172.9,178.3,175.4,175.4,173.7,175,175.4,135,135,135
0,202,20230510,13.5,13,13.1,13.1,13.1,13,13.1,13.1,13.1,,174.5,174.1,175.4,175.4,175.4,172.9,172.5,172.5,172.5,
0,203,20230510,13.7,13.4,13.4,13.4,13.1,13.3,12.9,13.2,13.2,13.2,170.4,174.1,174.1,174.1,175.8,174.5,174.5,175.4,175.4,175.4
1,204,20230510,13.7,13.1,13.1,13.1,13.1,13.1,13.1,13.1,,,171.6,175.4,175.4,175,173.7,173.7,173.7,174.5,,
0,205,20230510,16.4,13.1,13.1,13.1,13.1,13.1,13.1,13.1,,,164.5,173.7,173.7,175.4,175.4,176.2,176.2,176.2,,
1,206,20230510,16,12.9,13,13,13.4,13.3,13.1,12.9,,,169.1,173.3,174.1,174.1,175,176.6,176.6,177,,
1,207,20230510,13.4,13.4,13.4,12.9,12.8,12.8,12.8,12,,,172,172,172,175,176.6,172.9,177.9,124.5,,
0,208,20230510,13.4,13.4,13.4,12.9,13,13,13,12.8,,,169.1,169.1,169.1,172.9,173.7,173.7,173.7,173.7,,
1,209,20230510,19.2,19.2,19.2,19.2,19.2,13.3,13.2,13.3,,,166.6,166.6,166.6,166.6,166.6,176.2,175,174.5,,
1,210,20230510,13.7,13.7,13.1,13,13,13,13,13,,,173.3,173.3,175,175.8,174.5,172.5,172.5,172.5,,
0,211,20230510,13.1,13.1,13,13.1,12.9,13,12.9,12.9,,,171.6,171.6,177,172,176.2,173.3,172.9,135,,
0,212,20230510,13.9,13.1,13.1,13,13.1,13,13.1,13.1,,,170.4,176.6,176.6,172,173.7,175,173.7,178.7,,
0,213,20230510,13.3,13.3,13.8,13.1,13.1,13.3,13.1,,,,13.3,13.3,13.8,13.1,13.1,13.3,13.1,,,
1,214,20230510,13.1,13.3,13.6,13.3,13.5,13.4,,,,,175,176.2,173.3,174.1,174.5,169.5,,,,
0,215,20230510,13.1,12.9,12.9,12.9,13.2,13.1,13,,,,177.5,175.4,175.4,175.4,176.2,173.7,173.7,,,
0,216,20230510,13.6,13.6,13.6,13.3,13,13.2,13.2,,,,174.5,174.5,174.5,174.5,176.6,173.7,174.1,,,
1,217,20230510,13,13,13.1,12.7,12.7,12.7,13.3,,,,174.5,174.5,174.5,173.3,173.3,173.3,175.8,,,
1,218,20230510,13.1,13,13.1,13.1,13.1,13.1,13.1,,,,176.6,177.5,176.6,176.6,176.6,175.4,133.7,,,
0,219,20230510,13.1,13.2,13.2,13.1,13.1,13.2,13.2,13.2,,,175.4,174.1,174.1,175.4,174.5,173.3,173.3,173.3,,
0,220,20230510,13.1,12.9,13.3,13.3,13.1,13.2,13.3,,,,175,175,176.6,178.7,176.6,175,174.5,,,
0,221,20230510,13.6,13.6,13.3,12.9,13,13.5,13.5,13.2,12.9,13.2,174.5,174.5,173.7,173.3,177.9,173.3,173.3,174.1,177.5,174.5
0,222,20230510,13.8,13.8,13.1,13,13.1,13.1,13.1,13.1,13.1,,173.7,173.7,174.1,176.6,176.2,177,177.5,177.5,177.5,
0,223,20230510,13.8,13.8,13.3,13.1,12.9,13.2,13.2,,,,174.1,174.1,173.7,174.1,176.6,177,175,,,
0,224,20230510,13.1,13.1,13,13.2,13.1,13.1,12.9,,,,174.1,174.1,173.3,172.9,176.2,174.5,173.3,,,
